,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species,subtree,subtree_rank
MZ895053,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Cyrenidae_1176409,Corbicula_45948,Corbicula japonica_141464,,phylum
MW092825,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Octopoda_6638,Octopodidae_6647,Enteroctopus_267066,Enteroctopus dofleini_267067,,phylum
MF491605,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus denizi_1443302,,phylum
OM719687,Chelonoidis nigra species complex_1137846,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Testudinidae_8487,Chelonoidis_904181,Chelonoidis niger_66189,,subphylum
MT727019,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Crocodylidae_8493,Crocodylus_8500,Crocodylus johnsoni_184234,,subphylum
MN557850,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,,Batillariidae_145542,Batillaria_75120,Batillaria attramentaria_370345,,phylum
MF198444,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Ostreida_6562,Ostreidae_6563,Saccostrea_33508,Saccostrea cucullata_36930,,phylum
EU672833,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Ostreida_6562,Ostreidae_6563,Crassostrea_6564,Crassostrea sikamea_94324,,phylum
JF284690,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Pomatiopsidae_56139,Oncomelania_56140,Oncomelania hupensis_56141,,phylum
MW590258,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Cephalaspidea_69554,Haminoeidae_114747,Haminoea_114748,Haminoea flavescens_2820711,,phylum
MW550290,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Muricidae_39476,Purpura_693207,Purpura persica_1078512,,phylum
MW376909,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Siganidae_75382,Siganus_75041,Siganus luridus_226939,,class
MW408700,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Sciaenidae_30870,Pennahia_118564,Pennahia anea_435129,,class
DQ862058,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus textile_6494,,phylum
KP728238,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Scatophagidae_30869,Selenotoca_75039,Selenotoca multifasciata_75040,,class
HM131942,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Mauremys_74925,Mauremys annamensis_204961,,subphylum
KY801852,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus bruguieri_1981829,,phylum
MN462589,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Muricidae_39476,Murex_57630,Murex trapa_693201,,phylum
MN864063,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Polyplacophora_6650,Chitonida_6652,Acanthochitonidae_6653,Acanthochitona_55703,Acanthochitona avicula_1503212,,phylum
KT696545,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Ellobiida_2340871,Ellobiidae_69683,Carychium_145634,Carychium tridentatum_145635,,phylum
LC574977,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Cuora_72005,Cuora flavomarginata_204965,,subphylum
MF491546,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus venulatus_289052,,phylum
FJ599667,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Lepetellida_2315723,Haliotidae_6451,Haliotis_6452,Haliotis tuberculata_36103,,phylum
MN200239,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Pomatiopsidae_56139,Oncomelania_56140,Oncomelania hupensis_56141,,phylum
MH308389,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Bathytoma_473401,Bathytoma punicea_542572,,phylum
